date,day,work,weekend,longweekend,reportweek,dayofmonth,month,year
2017-01-01,niedziela,0,1,1,1,1,1,2017
2017-01-02,poniedziałek,1,0,0,1,2,1,2017
2017-01-03,wtorek,1,0,0,1,3,1,2017
2017-01-04,środa,1,0,0,2,4,1,2017
2017-01-05,czwartek,1,0,0,2,5,1,2017
2017-01-06,piątek,0,0,1,2,6,1,2017
2017-01-07,sobota,1,1,1,2,7,1,2017
2017-01-08,niedziela,0,1,1,2,8,1,2017
2017-01-09,poniedziałek,1,0,0,2,9,1,2017
2017-01-10,wtorek,1,0,0,2,10,1,2017
2017-01-11,środa,1,0,0,3,11,1,2017
2017-01-12,czwartek,1,0,0,3,12,1,2017
2017-01-13,piątek,1,0,0,3,13,1,2017
2017-01-14,sobota,1,1,1,3,14,1,2017
2017-01-15,niedziela,0,1,1,3,15,1,2017
2017-01-16,poniedziałek,1,0,0,3,16,1,2017
2017-01-17,wtorek,1,0,0,3,17,1,2017
2017-01-18,środa,1,0,0,4,18,1,2017
2017-01-19,czwartek,1,0,0,4,19,1,2017
2017-01-20,piątek,1,0,0,4,20,1,2017
2017-01-21,sobota,1,1,1,4,21,1,2017
2017-01-22,niedziela,0,1,1,4,22,1,2017
2017-01-23,poniedziałek,1,0,0,4,23,1,2017
2017-01-24,wtorek,1,0,0,4,24,1,2017
2017-01-25,środa,1,0,0,5,25,1,2017
2017-01-26,czwartek,1,0,0,5,26,1,2017
2017-01-27,piątek,1,0,0,5,27,1,2017
2017-01-28,sobota,1,1,1,5,28,1,2017
2017-01-29,niedziela,0,1,1,5,29,1,2017
2017-01-30,poniedziałek,1,0,0,5,30,1,2017
2017-01-31,wtorek,1,0,0,5,31,1,2017
2017-02-01,środa,1,0,0,6,1,2,2017
2017-02-02,czwartek,1,0,0,6,2,2,2017
2017-02-03,piątek,1,0,0,6,3,2,2017
2017-02-04,sobota,1,1,1,6,4,2,2017
2017-02-05,niedziela,0,1,1,6,5,2,2017
2017-02-06,poniedziałek,1,0,0,6,6,2,2017
2017-02-07,wtorek,1,0,0,6,7,2,2017
2017-02-08,środa,1,0,0,7,8,2,2017
2017-02-09,czwartek,1,0,0,7,9,2,2017
2017-02-10,piątek,1,0,0,7,10,2,2017
2017-02-11,sobota,1,1,1,7,11,2,2017
2017-02-12,niedziela,0,1,1,7,12,2,2017
2017-02-13,poniedziałek,1,0,0,7,13,2,2017
2017-02-14,wtorek,1,0,0,7,14,2,2017
2017-02-15,środa,1,0,0,8,15,2,2017
2017-02-16,czwartek,1,0,0,8,16,2,2017
2017-02-17,piątek,1,0,0,8,17,2,2017
2017-02-18,sobota,1,1,1,8,18,2,2017
2017-02-19,niedziela,0,1,1,8,19,2,2017
2017-02-20,poniedziałek,1,0,0,8,20,2,2017
2017-02-21,wtorek,1,0,0,8,21,2,2017
2017-02-22,środa,1,0,0,9,22,2,2017
2017-02-23,czwartek,1,0,0,9,23,2,2017
2017-02-24,piątek,1,0,0,9,24,2,2017
2017-02-25,sobota,1,1,1,9,25,2,2017
2017-02-26,niedziela,0,1,1,9,26,2,2017
2017-02-27,poniedziałek,1,0,0,9,27,2,2017
2017-02-28,wtorek,1,0,0,9,28,2,2017
2017-03-01,środa,1,0,0,10,1,3,2017
2017-03-02,czwartek,1,0,0,10,2,3,2017
2017-03-03,piątek,1,0,0,10,3,3,2017
2017-03-04,sobota,1,1,1,10,4,3,2017
2017-03-05,niedziela,0,1,1,10,5,3,2017
2017-03-06,poniedziałek,1,0,0,10,6,3,2017
2017-03-07,wtorek,1,0,0,10,7,3,2017
2017-03-08,środa,1,0,0,11,8,3,2017
2017-03-09,czwartek,1,0,0,11,9,3,2017
2017-03-10,piątek,1,0,0,11,10,3,2017
2017-03-11,sobota,1,1,1,11,11,3,2017
2017-03-12,niedziela,0,1,1,11,12,3,2017
2017-03-13,poniedziałek,1,0,0,11,13,3,2017
2017-03-14,wtorek,1,0,0,11,14,3,2017
2017-03-15,środa,1,0,0,12,15,3,2017
2017-03-16,czwartek,1,0,0,12,16,3,2017
2017-03-17,piątek,1,0,0,12,17,3,2017
2017-03-18,sobota,1,1,1,12,18,3,2017
2017-03-19,niedziela,0,1,1,12,19,3,2017
2017-03-20,poniedziałek,1,0,0,12,20,3,2017
2017-03-21,wtorek,1,0,0,12,21,3,2017
2017-03-22,środa,1,0,0,13,22,3,2017
2017-03-23,czwartek,1,0,0,13,23,3,2017
2017-03-24,piątek,1,0,0,13,24,3,2017
2017-03-25,sobota,1,1,1,13,25,3,2017
2017-03-26,niedziela,0,1,1,13,26,3,2017
2017-03-27,poniedziałek,1,0,0,13,27,3,2017
2017-03-28,wtorek,1,0,0,13,28,3,2017
2017-03-29,środa,1,0,0,14,29,3,2017
2017-03-30,czwartek,1,0,0,14,30,3,2017
2017-03-31,piątek,1,0,0,14,31,3,2017
2017-04-01,sobota,1,1,1,14,1,4,2017
2017-04-02,niedziela,0,1,1,14,2,4,2017
2017-04-03,poniedziałek,1,0,0,14,3,4,2017
2017-04-04,wtorek,1,0,0,14,4,4,2017
2017-04-05,środa,1,0,0,15,5,4,2017
2017-04-06,czwartek,1,0,0,15,6,4,2017
2017-04-07,piątek,1,0,0,15,7,4,2017
2017-04-08,sobota,1,1,1,15,8,4,2017
2017-04-09,niedziela,0,1,1,15,9,4,2017
2017-04-10,poniedziałek,1,0,0,15,10,4,2017
2017-04-11,wtorek,1,0,0,15,11,4,2017
2017-04-12,środa,1,0,0,16,12,4,2017
2017-04-13,czwartek,1,0,0,16,13,4,2017
2017-04-14,piątek,1,0,0,16,14,4,2017
2017-04-15,sobota,1,1,1,16,15,4,2017
2017-04-16,niedziela,0,1,1,16,16,4,2017
2017-04-17,poniedziałek,0,0,1,16,17,4,2017
2017-04-18,wtorek,1,0,0,16,18,4,2017
2017-04-19,środa,1,0,0,17,19,4,2017
2017-04-20,czwartek,1,0,0,17,20,4,2017
2017-04-21,piątek,1,0,0,17,21,4,2017
2017-04-22,sobota,1,1,1,17,22,4,2017
2017-04-23,niedziela,0,1,1,17,23,4,2017
2017-04-24,poniedziałek,1,0,0,17,24,4,2017
2017-04-25,wtorek,1,0,0,17,25,4,2017
2017-04-26,środa,1,0,0,18,26,4,2017
2017-04-27,czwartek,1,0,0,18,27,4,2017
2017-04-28,piątek,1,0,0,18,28,4,2017
2017-04-29,sobota,1,1,1,18,29,4,2017
2017-04-30,niedziela,0,1,1,18,30,4,2017
2017-05-01,poniedziałek,0,0,1,18,1,5,2017
2017-05-02,wtorek,1,0,1,18,2,5,2017
2017-05-03,środa,0,0,1,19,3,5,2017
2017-05-04,czwartek,1,0,0,19,4,5,2017
2017-05-05,piątek,1,0,0,19,5,5,2017
2017-05-06,sobota,1,1,1,19,6,5,2017
2017-05-07,niedziela,0,1,1,19,7,5,2017
2017-05-08,poniedziałek,1,0,0,19,8,5,2017
2017-05-09,wtorek,1,0,0,19,9,5,2017
2017-05-10,środa,1,0,0,20,10,5,2017
2017-05-11,czwartek,1,0,0,20,11,5,2017
2017-05-12,piątek,1,0,0,20,12,5,2017
2017-05-13,sobota,1,1,1,20,13,5,2017
2017-05-14,niedziela,0,1,1,20,14,5,2017
2017-05-15,poniedziałek,1,0,0,20,15,5,2017
2017-05-16,wtorek,1,0,0,20,16,5,2017
2017-05-17,środa,1,0,0,21,17,5,2017
2017-05-18,czwartek,1,0,0,21,18,5,2017
2017-05-19,piątek,1,0,0,21,19,5,2017
2017-05-20,sobota,1,1,1,21,20,5,2017
2017-05-21,niedziela,0,1,1,21,21,5,2017
2017-05-22,poniedziałek,1,0,0,21,22,5,2017
2017-05-23,wtorek,1,0,0,21,23,5,2017
2017-05-24,środa,1,0,0,22,24,5,2017
2017-05-25,czwartek,1,0,0,22,25,5,2017
2017-05-26,piątek,1,0,0,22,26,5,2017
2017-05-27,sobota,1,1,1,22,27,5,2017
2017-05-28,niedziela,0,1,1,22,28,5,2017
2017-05-29,poniedziałek,1,0,0,22,29,5,2017
2017-05-30,wtorek,1,0,0,22,30,5,2017
2017-05-31,środa,1,0,0,23,31,5,2017
2017-06-01,czwartek,1,0,0,23,1,6,2017
2017-06-02,piątek,1,0,0,23,2,6,2017
2017-06-03,sobota,1,1,1,23,3,6,2017
2017-06-04,niedziela,0,1,1,23,4,6,2017
2017-06-05,poniedziałek,1,0,0,23,5,6,2017
2017-06-06,wtorek,1,0,0,23,6,6,2017
2017-06-07,środa,1,0,0,24,7,6,2017
2017-06-08,czwartek,1,0,0,24,8,6,2017
2017-06-09,piątek,1,0,0,24,9,6,2017
2017-06-10,sobota,1,1,1,24,10,6,2017
2017-06-11,niedziela,0,1,1,24,11,6,2017
2017-06-12,poniedziałek,1,0,0,24,12,6,2017
2017-06-13,wtorek,1,0,0,24,13,6,2017
2017-06-14,środa,1,0,0,25,14,6,2017
2017-06-15,czwartek,0,0,1,25,15,6,2017
2017-06-16,piątek,1,0,1,25,16,6,2017
2017-06-17,sobota,1,1,1,25,17,6,2017
2017-06-18,niedziela,0,1,1,25,18,6,2017
2017-06-19,poniedziałek,1,0,0,25,19,6,2017
2017-06-20,wtorek,1,0,0,25,20,6,2017
2017-06-21,środa,1,0,0,26,21,6,2017
2017-06-22,czwartek,1,0,0,26,22,6,2017
2017-06-23,piątek,1,0,0,26,23,6,2017
2017-06-24,sobota,1,1,1,26,24,6,2017
2017-06-25,niedziela,0,1,1,26,25,6,2017
2017-06-26,poniedziałek,1,0,0,26,26,6,2017
2017-06-27,wtorek,1,0,0,26,27,6,2017
2017-06-28,środa,1,0,0,27,28,6,2017
2017-06-29,czwartek,1,0,0,27,29,6,2017
2017-06-30,piątek,1,0,0,27,30,6,2017
2017-07-01,sobota,1,1,1,27,1,7,2017
2017-07-02,niedziela,0,1,1,27,2,7,2017
2017-07-03,poniedziałek,1,0,0,27,3,7,2017
2017-07-04,wtorek,1,0,0,27,4,7,2017
2017-07-05,środa,1,0,0,28,5,7,2017
2017-07-06,czwartek,1,0,0,28,6,7,2017
2017-07-07,piątek,1,0,0,28,7,7,2017
2017-07-08,sobota,1,1,1,28,8,7,2017
2017-07-09,niedziela,0,1,1,28,9,7,2017
2017-07-10,poniedziałek,1,0,0,28,10,7,2017
2017-07-11,wtorek,1,0,0,28,11,7,2017
2017-07-12,środa,1,0,0,29,12,7,2017
2017-07-13,czwartek,1,0,0,29,13,7,2017
2017-07-14,piątek,1,0,0,29,14,7,2017
2017-07-15,sobota,1,1,1,29,15,7,2017
2017-07-16,niedziela,0,1,1,29,16,7,2017
2017-07-17,poniedziałek,1,0,0,29,17,7,2017
2017-07-18,wtorek,1,0,0,29,18,7,2017
2017-07-19,środa,1,0,0,30,19,7,2017
2017-07-20,czwartek,1,0,0,30,20,7,2017
2017-07-21,piątek,1,0,0,30,21,7,2017
2017-07-22,sobota,1,1,1,30,22,7,2017
2017-07-23,niedziela,0,1,1,30,23,7,2017
2017-07-24,poniedziałek,1,0,0,30,24,7,2017
2017-07-25,wtorek,1,0,0,30,25,7,2017
2017-07-26,środa,1,0,0,31,26,7,2017
2017-07-27,czwartek,1,0,0,31,27,7,2017
2017-07-28,piątek,1,0,0,31,28,7,2017
2017-07-29,sobota,1,1,1,31,29,7,2017
2017-07-30,niedziela,0,1,1,31,30,7,2017
2017-07-31,poniedziałek,1,0,0,31,31,7,2017
2017-08-01,wtorek,1,0,0,31,1,8,2017
2017-08-02,środa,1,0,0,32,2,8,2017
2017-08-03,czwartek,1,0,0,32,3,8,2017
2017-08-04,piątek,1,0,0,32,4,8,2017
2017-08-05,sobota,1,1,1,32,5,8,2017
2017-08-06,niedziela,0,1,1,32,6,8,2017
2017-08-07,poniedziałek,1,0,0,32,7,8,2017
2017-08-08,wtorek,1,0,0,32,8,8,2017
2017-08-09,środa,1,0,0,33,9,8,2017
2017-08-10,czwartek,1,0,0,33,10,8,2017
2017-08-11,piątek,1,0,0,33,11,8,2017
2017-08-12,sobota,1,1,1,33,12,8,2017
2017-08-13,niedziela,0,1,1,33,13,8,2017
2017-08-14,poniedziałek,1,0,1,33,14,8,2017
2017-08-15,wtorek,0,0,1,33,15,8,2017
2017-08-16,środa,1,0,0,34,16,8,2017
2017-08-17,czwartek,1,0,0,34,17,8,2017
2017-08-18,piątek,1,0,0,34,18,8,2017
2017-08-19,sobota,1,1,1,34,19,8,2017
2017-08-20,niedziela,0,1,1,34,20,8,2017
2017-08-21,poniedziałek,1,0,0,34,21,8,2017
2017-08-22,wtorek,1,0,0,34,22,8,2017
2017-08-23,środa,1,0,0,35,23,8,2017
2017-08-24,czwartek,1,0,0,35,24,8,2017
2017-08-25,piątek,1,0,0,35,25,8,2017
2017-08-26,sobota,1,1,1,35,26,8,2017
2017-08-27,niedziela,0,1,1,35,27,8,2017
2017-08-28,poniedziałek,1,0,0,35,28,8,2017
2017-08-29,wtorek,1,0,0,35,29,8,2017
2017-08-30,środa,1,0,0,36,30,8,2017
2017-08-31,czwartek,1,0,0,36,31,8,2017
2017-09-01,piątek,1,0,0,36,1,9,2017
2017-09-02,sobota,1,1,1,36,2,9,2017
2017-09-03,niedziela,0,1,1,36,3,9,2017
2017-09-04,poniedziałek,1,0,0,36,4,9,2017
2017-09-05,wtorek,1,0,0,36,5,9,2017
2017-09-06,środa,1,0,0,37,6,9,2017
2017-09-07,czwartek,1,0,0,37,7,9,2017
2017-09-08,piątek,1,0,0,37,8,9,2017
2017-09-09,sobota,1,1,1,37,9,9,2017
2017-09-10,niedziela,0,1,1,37,10,9,2017
2017-09-11,poniedziałek,1,0,0,37,11,9,2017
2017-09-12,wtorek,1,0,0,37,12,9,2017
2017-09-13,środa,1,0,0,38,13,9,2017
2017-09-14,czwartek,1,0,0,38,14,9,2017
2017-09-15,piątek,1,0,0,38,15,9,2017
2017-09-16,sobota,1,1,1,38,16,9,2017
2017-09-17,niedziela,0,1,1,38,17,9,2017
2017-09-18,poniedziałek,1,0,0,38,18,9,2017
2017-09-19,wtorek,1,0,0,38,19,9,2017
2017-09-20,środa,1,0,0,39,20,9,2017
2017-09-21,czwartek,1,0,0,39,21,9,2017
2017-09-22,piątek,1,0,0,39,22,9,2017
2017-09-23,sobota,1,1,1,39,23,9,2017
2017-09-24,niedziela,0,1,1,39,24,9,2017
2017-09-25,poniedziałek,1,0,0,39,25,9,2017
2017-09-26,wtorek,1,0,0,39,26,9,2017
2017-09-27,środa,1,0,0,40,27,9,2017
2017-09-28,czwartek,1,0,0,40,28,9,2017
2017-09-29,piątek,1,0,0,40,29,9,2017
2017-09-30,sobota,1,1,1,40,30,9,2017
2017-10-01,niedziela,0,1,1,40,1,10,2017
2017-10-02,poniedziałek,1,0,0,40,2,10,2017
2017-10-03,wtorek,1,0,0,40,3,10,2017
2017-10-04,środa,1,0,0,41,4,10,2017
2017-10-05,czwartek,1,0,0,41,5,10,2017
2017-10-06,piątek,1,0,0,41,6,10,2017
2017-10-07,sobota,1,1,1,41,7,10,2017
2017-10-08,niedziela,0,1,1,41,8,10,2017
